disease_name,introduction,symptoms,causes,diagnosis,management
Keratosis Pilaris,"It is also known as 'Chicken skin', 'lichen pilaris' or 'follicular keratosis'. Keratosis pilaris is a type of skin condition in which skin protein called keratin forms hard plugs within hair follicles. It is autosomal genetic disease characterized by appearance of rough, slightly red, bumps on the skin. It most often appears on the back and outer sides of the arm (though the forearm can also be affected), and can also occur on the thighs, hands, and tops of legs, sides, buttocks, or any body part except glabrous skin (like the palms or soles of feet). It is generally seen in patients with dry skin. The condition often worsens during winters.,References: www.nhs.uk,www.nlm.nih.gov","The patches of affected skin will be in the form of tiny spiky bumps, it may be skin-coloured, red or brown. This spotting will give the appearance of 'chicken skin' or permanent goose pimples, and the skin feels rough, like sandpaper. In some people, the skin will itch and there may be slight redness around the bumps. The condition is not contagious.",The exact cause is still not known. But it has been observed that it runs in some families.,It is generally diagnosed by examining the skin.,Treatment is still not known but symptoms can be managed:
Keratoconjunctivitis Sicca (Dry Eye Syndrome),"Keratoconjunctivitis Sicca (KCS) or Dry eye syndrome is mainly caused due to aqueous tear deficiency.,As per Dry Eye Workshop (DEWS) 2007,  KCS is defined as ‘a multifactorial disease of the tear film and ocular surface that results in symptoms of discomfort, visual disturbance, and tears film instability with potential damage to the ocular surface. It is accompanied by increased osmolality of tear film and inflammation of the ocular surface’.,Tear film has three components:-,Outer lipid layer: It is outer oily layer which retards evaporation of aqueous tears. It lubricates eyelids and prevents spillover of tears over lid margin.,Middle aqueous layer: It supply oxygen to cornea (transparent layer covering front of eye ) and make surface smooth by filling minute irregularities. It prevents bacterial infection and also washes away debris.,Inner mucin layer: It makes cornea wettable by aqueous in middle layer.,A defect in any component of tear film may lead to dry eye syndrome but primarily it is from aqueous tear deficiency.,Tears have smaller basic (resting) and larger reflex component. Reflex secretion occurs due to corneal sensory stimulation.,Effective spread and resurfacing, in addition to normal tear film, requires:-,Normal smooth corneal surface.,Normal rate of blinking.,Congruent ocular surface and eyelid.,References:,http://emedicine.medscape.com,2007 Report of the international Dry Eye WorkShop. Ocul Surf. 2007; 5(2):65-204,Kanski, Jack J; Bowling, Brad. Synopsis of Clinical Ophthalmology. Third Edition. Saunders Ltd., 2012.,Kanski, Jack J. Clinical Ophthalmology,A Synopsis. Second Edition. Elsevier Health Sciences, 2009.,Kanski, Jack J. Clinical Ophthalmology, A Systematic Approach.Third Edition.UK. Butterworth Heinemann, 1994.","Many patients do not have any symptoms. Some may have noticed deficient or reduced tears on peeling onions or even being emotional.,Common symptoms are:,Irritation of eyes,Burning sensations of eyes.,Foreign body sensation in eyes.,Mucoid discharge.,Transient blurring or fluctuation of vision.,Excessive tearing (due to reflex secretion in response of dry eye).,Hyperaemia (redness) of eyes.,Less common symptoms may include:,Tired feeling or heaviness of eyelids.,Photophobia.,Itching","A.      Aqueous layer deficiency :- It can be :,Pure KCS : Lacrimal gland alone is affected by fibrosis.,Sjögren’s syndrome : It affects lacrimal glands, salivary glands and other mucous membranes. It is characterised by the presence of antinuclear antibody, rheumatoid arthritis and hypergammaglobulinaemia. It may be primary Sjögren’s syndrome when these changes occur in isolation or secondary Sjögren’s syndrome when associated with other diseases viz. Systemic lupus erythematosus, polymyositis, juvenile chronic arthritis or primary biliary cirrhosis.,Lacrimal gland destruction by dysthyroid ophthalmopathy, sarcoidosis, tumour or pseudotumour.,Surgical removal of lacrimal gland.,Conjunctival scarring blocking excretory ducts of lacrimal gland or causing destruction of mucin secreting glands.,Congenital absence of lacrimal gland.,Hyposecretion of tears with increasing age.,Vitamin A deficiency.,Neurological lesions with sensory or motor reflex loss.,B.        Dry eye due to evaporation of tears :- It can be :,Defect in lipid layer due to dysfunction of Meibomian glands (lipid secreting glands) or blepharitis ( inflammation of lid margins).,Defective/ reduced blinking e.g. Parkinson’s disease or extended periods of reading, computer work or driving.,Exposure keratopathy leading to dry cornea e. g. Bell’s palsy.,Dry eyes associated with contact lens wear.,Environmental factors like exposure to heating, air conditioning, increased velocity of air or reduced humidity.","Dry eye should be distinguished from other diseases affecting anterior surface of the eye e.g. conjunctivitis, infectious diseases, corneal abnormalities or keratopathies. Diagnosis depends upon clinical examination of eyes and conduct of certain specialised tests.","Aim is to provide symptomatic relief to patient. A smooth corneal surface prevents its further   damage and aggravation of symptoms.,Various modalities may be :,Avoiding high room temperature to decrease evaporation of existing tears.,Use of room humidifiers or moist chamber spectacles to reduce evaporation.,Contact lenses may be used to protect eyes. These may be of silicone rubber or gas permeable scleral bearing hard contact lenses with or without fenestration or highly gas permeable for overnight wear.,Lubricating supplements are the medications most commonly used.  Artificial tears are used for mild to moderate KCS. These have short duration of action and therefore requires frequent instillation.,Artificial tears may be of following types :,Cellulose derivatives.,Mucomimetics.,Polyvinyl alcohol .,Other tear substitutes :,Povidone and sodium chloride.,Sodium hyaluronate to promote epithelial healing.,Mineral oil ointment may be used at night time before sleep.,Mucolytic drops e.g. acetylcysteine may be used for corneal filaments and mucous plaques.,Anti-inflammatory agents like topical corticosteroids, topical cyclosporine or topical or systemic omega-3 fatty acids (omega-3 fatty acids inhibit the synthesis of lipid mediators) may be used.,Use of topical or systemic tetracycline.,Use of autologous or umbilical cord serum. Serum eye drops are used in cases of severe KCS with punctate epithelial defects and corneal damage to promote reepithelisation.,Use of systemic immunosuppressants.,Patients with lagophthalmos (incomplete lid closure) may be benefitted with small lateral tarsorrhahy (stitching together of upper and lower lid) to preserve tears.,Occlusion of punctum (punctum is a small  hole in lids for drainage of tears from eyes to nose)  is useful in severe KCS and also in those showing drug toxicity.,Occlusion of punctum may be :,Temporary: Punctum may be blocked with plug, silicone rods or even with 2/0 catgut suture. Plugs may be absorbable,nonabsorbable,hydrogel or thermoplastic. Initially, all four puncta are blocked. This is to assess whether blockage leads to tearing or not. Based on the results, permanent occlusion may be planned,Permanent: This is undertaken for severe KCS with Schirmer’s test value consistently being 2mm or less. It is done with gentle heating of proximal canaliculus ( small passage connecting punctum to the lacrimal sac) with cautery at black heat or by Argon laser. Permanent occlusion should be avoided in young patients due to fluctuating tear amount.,Conjunctival flap may be pulled over to prevent dryness and its complications.,Mucous membrane grafting.,Amniotic membrane transplantation may be done.,Salivary gland duct transposition for lubrication.,Descemetocele (thin and bulging cornea), impending or frank perforation may be covered with tissue adhesive cyanoacrylate, corneal or corneoscleral patch."
Kyasanur Forest Disease,"Kyasanur forest disease (KFD) is a tick-borne viral haemorrhagic fever endemic (constant presence of disease) in Karnataka State, India. It is also referred as monkey fever by local people. The virus causing the disease: KFD virus (KFDV) is a member of the genus Flavivirus and family Flaviviridae.",The incubation period of KFD is about 2 to 7 days after tick bites or exposure.,KFD is caused by a virus of flavivirus group called KFDV. It is antigenically related to other tick-borne flaviviruses and resembling Russian spring–summer (RSS) complex of viruses.,"The disease should be differentiated from other diseases such as influenza, typhoid, dengue, malaria, leptospirosis, rickettsial group of fevers. The following tests should be performed on blood samples:",There is no specific treatment for KFD.
Keratoconus,"Keratoconus is a non-inflammatory, bilateral (but usually asymmetrical) disease of the cornea which results in progressive corneal steepening. It is characterised by para-central corneal thinning and ectasia so that the cornea takes the shape of a cone. Visual loss occurs primarily from myopia and irregular astigmatism and secondarily from corneal scarring.","Symptoms are highly variable and depend upon the stage of the disease. Early in the disease, there may be no symptoms. In advanced disease, there is significant diminution and distortion of vision.","The cause of keratoconus is not known. It may not be a single disorder, but rather a phenotypic expression of perhaps many causes, both genetic and environmental.","Refraction, keratometry, corneal topography and slit- lamp (bio-microscopy) examination helps in reaching to the diagnosis of keratoconus.",Management should be carried out under medical supervision.
Keratoglobus,"Keratoglobus is a rare non-inflammatory corneal thinning disorder characterised by generalised thinning and globular ectasis (protrusion) of the cornea. The non-inflammatory corneal ectasias are a group of disorders characterised by corneal thinning, protrusion, and scarring. Keratoglobus forms a rarer subset of this group.",Patients are generally asymptomatic.,Causes of Keratoglobus may be:,"The diagnosis of keratoglobus is essentially clinical, owing to the characteristic clinical findings. In less severe cases, there may be difficulty in differentiating the condition from other ectatic conditions.",Management should be carried out under medical supervision.
Leishmaniasis/ Kala-Azar,"Kala-Azar is a slow progressing indigenous disease caused by a protozoan parasite of the genus Leishmania. In India Leishmania donovani is the only parasite that causes this disease. The parasite primarily infects the reticulo-endothelial system and may be found in abundance in bone marrow, spleen and liver.",Recurrent fever intermittent or remittent with often double rise of temperature.,"There is only one sand fly vector of Kala-Azar in India i.e. Phlebotomus argentipes. Sand flies are small insects, about one fourth of the size of a mosquito. The length of a sand fly body ranges from 1.5 to 3.5 mm.","Symptomatic:,A case of fever of more than two weeks duration not responding to anti-malarials and antibiotics. Clinical laboratory findings may include anemia, progressive leucopenia thrombocytopenia and hypergammaglobulinemia.","Diagnosis and treatment of Kala-Azar are problematic because of a variety of reasons. While treatment is lengthy and relatively costly, definitive diagnosis of Kala-Azar requires tissue specimens, which are conventionally obtained by organ needle aspiration for microscopic demonstration of amastigote forms in stained smears. Bone marrow the spleen, and lymph-node (in some regions) are the tissues most often sampled in patients with suspected infection. The diagnostic sensitivity of splenic aspiration is high (95% - 98%), but the procedure carries a risk of bleeding; the sensitivity of examination of bone marrow specimens is considered to be lower (53% - 95%). Organ aspiration and accurate examination of smears also require technical skills that are not uniformly available in rural areas. Culture or PCR testing of aspirate material improves parasitologic yield, but these methods are seldom undertaken outside of research laboratories."
Lichen Planus,"Lichen planus is an inflammatory skin disorder. The disease presents itself in the form of papules, lesions or rashes. Lichen planus is a non-infectious, itchy rash that can affect many areas of the body.",The symptoms of lichen planus vary according to area of the body are affected. The most common symptoms are seen in,"The exact reason for Lichen planus is still unknown. However, it is related to either the immune system (the body's natural defense against infection and illness) or an allergic reaction to certain medicines.",It is often diagnosed through physical examination.,Medicines used to treat lichen planus include:
Leprosy,"Leprosy, also known as Hansen's disease (HD), is a chronic infectious disease caused by a Mycobacterium (Mycobacterium leprae) affecting especially the skin and marginal nerves. It is characterized by the formation of nodules or macules that enlarge and spread with loss of sensation and eventually paralysis, wasting of muscle, and production of deformities called also Hansen's disease. This infection is caused by the bacteria Mycobacterium leprae and Mycobacterium lepromatosis. It is primarily a granulomatous disease of the peripheral nerves and mucosa of the upper respiratory tract, skin lesions are the primary external sign. If left untreated, leprosy can be progressive, causing permanent damage to the skin, nerves, limbs and eyes.",The disease has following symptoms:,Mycobacterium leprae and Mycobacterium lepromatosis are the causative agents of leprosy. Mycobacterium can spread from person to person. This might happen when someone with the disease coughs or sneezes. This can release droplets into the air. It might also happen if somebody is exposed to other nasal fluids (also known as secretions) that might be contaminated with the bacteria.,Leprosy is diagnosed by finding at least one of the following cardinal signs (WHO):,The multidrug therapy (MDT) is an effective and a powerful tool in curing leprosy. Adherence to treatment and its successful completion are equally important for the cure.
Leptospirosis,"It is an infectious disease caused by bacteria of the genus Leptospira and affects both humans as well as other animals.,Leptospirosis is one of the world's most widespread diseases transmitted by animals to humans. The infection is generally transmitted to humans by water that has been contaminated by animal urine which comes in contact with unhealed breaks in the skin, the eyes, or with the mucous membranes.,In most of the cases, leptospirosis only causes mild flu-like symptoms, such as headache, chills and muscle pain. However, in some cases the infection is more severe and can cause life-threatening problems, including organ failure and internal bleeding. Severe form of leptospirosis is known as Weil's disease.","Mild symptoms, includes:","Leptospirosis iscaused by bacteria called leptospira, which is found in urine of infected   animals and infection can spread from animals to humans. Rodents, Cattle, buffaloes, horses, sheep, goat, pigs and dogs are considered common reservoirs of the bacteria that cause leptospirosis.,The incubation period of leptospirosis is usually 5–14 days, with a range of 2–30 days.,Outbreaks of leptospirosis can occur, due to close contact with infected freshwater sources, such as some water sports. It is also possible for people to become infected after a natural disaster, such as a flood.",Blood test is done to detect antibodies for the bacteria.,Leptospirosis can be treated with medicines like:
Leukemia,"Leukemia is group of blood cancers of white cells. The generation of white cells increases in bone marrow (a hollow space in bones), where most blood particles are formed.  The increased numbers of abnormal white cells are immature and are called “Blasts”.",Symptoms of acute leukemia include:,Acute leukemia begins with an alteration to the structure of DNA found in the stem cells responsible for producing white blood cells. This is known as a genetic mutation.,Microscopic Examination: The blood count will show an abnormally high number of lymphocytes (a type of white blood cell).,Treatment for acute lymphoblastic leukemia is carried out in stages:
Lymphoedema,"It is also known as Lymphatic Obstruction, is a condition of localized fluid retention and tissue swelling caused by a compromised lymphatic system. The lymphatic system returns the interstitial fluid to the thoracic duct and then to the bloodstream, where it is re circulated back to the tissues.",The main symptom of lymphoedema is swelling in all or part of a limb.,"There are two types of Lymphoedema- Primary and Secondary lymphoedema, which have different causes.",Measuring limb volume- These tests are explained below:,The recommended treatment for lymphoedema is a treatment plan called Complex Decongestive Therapy (CDT). It is also known as Decongestive Lymphatic Therapy (DLT).
Ligneous Conjunctivitis,"Ligneous conjunctivitis (LC) is a rare, potentially sight and even life-threatening (e.g. by airway obstruction) disorder characterised by recurrent, often bilateral fibrin-rich pseudo-membranous lesions of wood-like consistency that develop mainly on the tarsal conjunctiva. It is the main clinical manifestation of systemic plasminogen deficiency and typically presents in childhood. There appears to be a higher incidence in females as compared to males. With plasminogen deficiency, wound-healing capability is diminished and is most pronounced in mucous membranes, such as conjunctiva.  Plasminogen is converted to plasmin by plasminogen activators in the blood. Plasmin is a serine protease and is the predominant fibrinolytic enzyme in the human circulation, and is also found in the extracellular matrix. Plasmin plays an important role in haemostasis, as well as, is an integral component of wound healing (acts by degrading fibrin). Due to plasminogen deficiency, fibrin rich membranes or mucous strands accumulate, which on desiccation of the fibrin leads to the ligneous consistency of the conjunctival lesions. Episodes may be triggered by relatively minor trauma, surgery (done particularly for pterygium or pinguecula) or by systemic events such as fever and anti-fibrinolytic therapy. Similar mechanisms occur in extra-ocular manifestations of plasminogen deficiency.",Patients typically present with chronic conjunctivitis and LC is bilateral in about half of the cases. Duration of disease varies from few months to many years.,There is evidence to support that ligneous conjunctivitis is the result of plasminogen deficiency.,"The diagnosis of LC is based on the clinical picture (ocular and/or extra-ocular membranous lesions), the typical histological findings, and a possible positive family history. In most patients with LC, hypo-plasminogenaemia may be found.",Management should be carried out under medical supervision.
Low Vision And Visuai Aids,"Vision is the special sense by which the qualities of an object (as colour, luminosity, shape, and size) constituting its appearance are perceived through a process in which light rays entering the eye are transformed by the retina(light sensitive inner layer of eyeball) into electrical signals that are transmitted to the brain via the optic nerve .,Visual acuity is a measure of resolution of the visual processing system. It is measured commonly with an eye chart e.g. Snellen chart.  A common Snellen chart is printed with eleven lines of block letters. In visual acuity testing on Snellen chart, person normally sits at a distance of 6 meters from the chart on which letters of standard decreasing size are there in rows. Top line has a single letter which should be readable at a distance of 60 meters. Visual acuity is recorded as a ratio with numerator of 6 (distance at which patient sits.) and the denominator of the smallest possible size being read by the patient. For example, a vision record of 6/60 means that patient sitting at 6 meters could read letter in top line only , which should normally be read at 60 meters. Instead of distances being in meters, it may also be measured in feet. 6 meters is about 20 feet. Therefore, a vision of 6/6 in meters, is equivalent to a vision of 20/20 in feet. Similarly, a vision of 6/60 in meters, is equal to 20/200 in feet.,Typical Snellen chart to estimate visual acuity: Image in Wikipedia(link is external),Low vision was defined as ‘Visual acuity of 6/18 down to and including 3/60 in the better eye’. A person with low vision is ‘someone who, after medical, surgical and/or optical intervention, has a corrected visual acuity in the better eye of   <6/18 down to and including light perception or a central visual field of   <20 degrees, but who uses or has the potential to use vision for the planning and/or execution of a task.’ Thus, Low vision is a reduced level of vision that cannot be fully corrected with conventional glasses. In 10th revision of the International classification of the diseases (ICD-10 version: 2015), the term low vision is replaced by terms ‘moderate visual impairment(presenting visual acuity of   <6/18 to 6/60)’ and ‘severe visual impairment (presenting visual acuity of   <6/60 to 3/60)’, from all causes.,‘ Vision 2020: the Right  to Sight’ is a partnership between World Health Organisation (WHO) and the International Agency for the prevention of Blindness(IAPB), had been launched in 1999 with the twin aims of eliminating avoidable blindness by the year 2020 and preventing the projected doubling of avoidable visual impairment between 1990 and 2020 . VISION 2020 advocates for increased awareness of the need for low vision services. Low vision services are aimed at people who have residual vision that can be used and enhanced by specific aids. A low vision resource centre is operating from Hong Kong, Special Administrative Region, China, to distribute high quality, affordable low vision devices and equipment to all regions.,References:,http://www.who.int/blindness/Vision2020_report.pdf(link is external),www.aoa.org(link is external),www.kellogg.umich.edu(link is external),www.eschenbach.com(link is external),www.visionaware.org(link is external),www.geteyesmart.com(link is external),Abrams David. Duke-Elder’s Practice of Refraction. Tenth Edition. New Delhi: B.I .Churchill Livingstone Pvt.Ltd., 1993.","Symptoms of Low vision :- In spite of best medical, surgical and/or optical correction, there is :-,Difficulty recognising objects at distance.,Difficulty in reading or close work.,Difficulty in colour differentiation.","Causes of Low Vision:-,Age-related Macular Degeneration -  Macula , the area on the retina responsible for sharp central vision, is affected causing diminished vision.,Refractive Errors like High Myopia,Strabismic Amblyopia,Cataract  -  A cataract is clouding of lens in eye, thereby decreasing vision. Though treated surgically, few associated with ocular diseases may benefit with Low vision aids.,Diabetic Retinopathy  -  In Diabetes, due to hypoxia ( less oxygen supply to retina ), there are vascular changes leading to haemorrhages (bleeding) and exudates ( leaks from vessel ). These changes in Macula may produce diminution of vision.,Glaucoma – In Glaucoma, there is rise in intraocular pressure leading to damage to the optic nerve and diminution of vision.,Retinal Detachment – Retina may separate from its underlying layer and leads to diminution of vision.,Retinitis Pigmentosa -   An inherited disease, usually affects peripheral vision to begin with, leads to night blindness.,Retinopathy of Prematurity –Retinal vessels are not fully developed in premature infants. Premature infants are kept on oxygen in incubator. There is relative hypoxia in peripheral part of retina, which leads to new vessel formation and other complications, leading to diminution of vision.,Optic Nerve Diseases like Optic Atrophy,Heredomacular degeneration (Stargardt’s disease),Albinism,Nystagmus,Brain damage – There may be injury or disease of brain which may affect vision","Most people requiring visual aids have macular problems. Tests are done to assess the degree of vision and the visual field.,It includes :-,Refraction – As full a refraction as possible, should be attempted, and a subjective test should be performed with special test types. It is done to check the visual status of an individual. A trial frame and lenses should always be used, not a large refracting unit, which may interfere with eccentric viewing. Similarly, for near vision, special charts indicate reading vision and the magnification or addition required to attain a particular level.,Visual fields – It is done to assess the peripheral vision.","Many of the patients are old and frequently relatively immobile so that the retention of some ability to read is of vital importance. Low vision aids improve the reading capability and speed of reading. Visual aids for distance are less practical than those for near.,Accurate refraction and appropriate illumination should be ensured for optimal retinal image.,Magnification is the basis of most techniques used in low vision clinic. There are three methods of enlarging the retinal image :-,By bringing the object nearer to the eye.,By magnification of the retinal image.,By increasing the size of the object to be viewed.,Bringing the object nearer to the eye, leads to larger visual angle being subtended at the eye.,Magnification,  though increases the size of retinal image, leads to diminished visual field and reduced depth of focus. Due to this, lighting should be ample and directed on the fixation area. Therefore, lowest magnification compatible with useful vision should be employed .,Low vision aids may be -,Optical devices, such as magnifiers and telescopes.,Adaptive non-optical devices, such as large-print reading material and talking watches.,Non-magnifying visual aids.,Electronic devices  -   computer software.,OPTICAL  DEVICES :-,Hand-held Magnifiers  :-  Hand – held magnifiers are the simplest type of magnifiers. The hand-held magnifier design involves a handle that is attached to a plus lens through which the user views an object. Since user must support the weight of magnifier, hand-held magnifiers are helpful for short term spotting task, like reading a prescription bottle or a price tag. There are illuminated or non-illuminated magnifiers with a variety of lens designs  e.g.  aspheric , aplanatic , biconvex , and diffractive lens.,Image in Wikipedia(link is external).,Stand Magnifiers  :- Stand Magnifier is a plus lens mounted on legs that fix the distance from the lens to object. Stand Magnifiers are good for extended, near tasks such as reading a book, newspaper or magazine and making small notes. There are illuminated or non-illuminated magnifiers. There are around-the- neck  magnifiers , for jobs which require both hands to be free, like sewing and knitting.,Some magnifiers may use variations like :,Combination of lenses are also extensively used in magnifiers e.g. Hastings triplet magnifier.,Stepped lenses introduced by Fresnel can also be used as magnifiers. One type is essentially a plastic sheet with concentric ridges forming a series of prisms of increasing power from the axis to the periphery and has the great advantage of eliminating the thickness and marked aberration that would be unavoidable in a single large lens with a continuous surface.,Magnifying Reading Glasses :- Magnifying reading glasses have plus lenses for short term use as a replacement, but cannot substitute the prescription glasses. These may be having constant power or are progressive to be used for varying reading distances . These may be of illuminated type, which can be used in the dark.,Spectacle Magnifiers :-  Spectacle magnifiers are ideal for extended near tasks like reading or working on hobbies because they allow users to have ‘ hands free’. These may be:,Clip– on system :-  To be worn over the glasses.,Prismatic eye wear :-  Prisms are incorporated in spectacle to aid monocular or binocular vision. These may be bifocal, with normal reading power in upper part, and prismatic high power in the lower part for reading fine print.,Noves spectacle magnifier :-  It uses diffractive lenses which are much thinner than the lenses of similar power.,Spectacle microscope magnifiers :-  Have lenses of greater power than a traditional lens which forms a microscopic system when mounted on a spectacle lens. By holding the object closer, it allows an increase sized  image with large field of view and clarity.,Telescopes :-  Telescopes as vision aids, are ideal for tasks at any distance ( near, intermediate or far ) and for any duration of time ( short term or long term ). Telescopes may be monocular or binocular, focusable or fixed-focus, hand-held or spectacle mounted.,Technical  Magnifier :-  Technical magnifiers are ideal for extended near tasks such as inspection, quality control or viewing objects. Technical magnifiers may be hand-held magnifiers or stand magnifiers.,High power magnifiers are sometimes mounted in a cylindrical or conical holder with no handle. This is called a Loupe. These may be monocular loupe e.g. jewellers’ and watchmakers’ loupes or binocular.,Loupe : Image in Wikipedia(link is external),Binocular dental loupes: Image in Wikipedia(link is external),Aplanatic system of lenses such as exemplified in ophthalmic loupe, diminishes distortion of images.,Lamp Magnifiers :-  Lamp magnifiers sit on or clamp on to a table or desk and have illumination. These are good for extended near to intermediate tasks that need both magnification and illumination in a hands-free design.,NON- OPTICAL DEVICES :- Increasing the size of the object to be viewed helps in approach to low vision e.g. Large-size telephone bills or large-size print books. The benefits of optical devices, may be enhanced by non-optical means, such as improving light or reducing glare.,Flexible-Arm Task Lamps :-  Flexible-arm task lamps can be adjusted to a variety of tasks by providing proper light.,Full Spectrum Light Bulbs :-  Full spectrum light bulbs provide full range of colours found in sunlight, and hence more natural light. A sunscreen may be needed for longer duration of work, just as working out door in sunlight.,Absorptive Sun lenses/Sun glasses :-   Absorptive sun lenses filter out ultraviolet and infrared light. These are helpful in bright light , reduce glare and increase contrast.,Coloured Acetate Sheets z-  Coloured acetate sheets, especially yellow or marigold, when placed on the page, can enhance contrast between the print and background, making words and letters appear darker and easier to read.,NON- MAGNIFYING VISUAL AIDS :-,Stenopaeic Hole :- Stenopaeic hole is useful in any error of refraction or where the transparency of the ocular media is at fault. It is useful to a presbyope to read or write in an emergency.,As a stenopaeic slit, it may protect against ultraviolet radiation reflected from the snow.,As a reading slit cut in dark cardboard or plastic material, when placed immediately over print, may help patients with early lens opacities. In such cases, reflected light from the page is decreased and the contrast is thereby increased, allowing greater clarity in reading.,ELECTRONIC DEVICES :-,Video Magnifiers :-  Video magnifiers use video cameras to project a magnified image onto a video monitor , a television (TV ) screen, or a computer monitor. Video magnifiers use stand-mounted or hand-held video cameras and are also called ‘closed-circuit television (CCTV) systems’. Apart from the undistorted magnification, CCTV offers two other advantages. The polarity may be reversed, allowing the print to be offered as white on black, the contrast is found helpful by some patients. It is possible to isolate one line of print, which may make it more intelligible.,Hand-held video magnifiers rest against the reading material and generally have a small integrated display. Some hand-held magnifiers can project magnified image on a television.,Stand-mounted like Desktop video magnifiers have a table surface on which the object is placed. Above the object, is a camera and monitor upon which the magnified image is projected.,Newer Technologies :-  Advances in consumer electronics is improving quality of life for people with low vision. Digital devices and apps offer options for portable, lower-cost low vision aids.,E- readers - The iPad and other electronic- readers are portable, and allow the user to adjust the font size and contrast setting. They have text-to-speech functionality and can read aloud to the user. E-readers do not offer the same level of magnification as CCTVs.,Smartphones and Tablets  -  Both Apple and Android based smartphones and tablets offer a range of apps and built-in functions to help people with low vision.,Magnify,  iRead and iLoupe use camera of device, and light source to magnify and illuminate text.,SightBook app digitally communicate your vision changes to your ophthalmologist by measuring your visual function with a set of near vision tests.,Mapquest app provides voice-guided directions and tells the driver when to turn."
Lid Imbrication Syndrome,"Lid imbrication syndrome refers to abnormality of lid apposition in which upper eyelid overrides the lower eyelid. This causes lower eyelid lashes and keratinised epithelium to rub chronically against the upper eyelid marginal tarsal conjunctiva. This leads to keratinisation of the upper eyelid margin and metaplasia of the distal tarsal conjunctiva. The resulting abnormal distal superior palpebral surface, in turn, irritates the underlying corneal surface on blinking and prohibits normal replenishment of the tear film. There are symptoms of dryness due to poor tear film being produced by disruption in tear film mechanics. It may lead to persistent corneal epithelial defects.",Lid imbrication syndrome may present with symptoms such as,Lid imbrication syndrome is an idiopathic eyelid mal-position disorder and is characterized by upper eyelid overriding the lower eyelid.,Diagnosis of lid imbrication syndrome is primarily clinical.,Management should be carried out under medical supervision.
Lagophthalmos,"Lagophthalmos is the inability to close the eyelids completely on attempted closure. The term lagophthalmos is derived from the Greek word ‘lagos’ which means ‘hare’, since the hare was believed to sleep with its eyes open.",Patients present with symptoms such as,Lagophthalmos is produced due to following three main causes,Diagnosis of lagophthalmos is primarily clinical.,Management should be carried out under medical supervision.
Lead Poisoning,"Lead poisoning is one of the most common diseases of toxic environmental origin and accounts for about 0.6% of the global burden of disease. Lead is a naturally occurring heavy metal found in the earth’s crust.  It is soft, malleable, and melts at a relatively low temperature. It is easily moulded and can be combined with other metals to form alloys.",Most individuals when exposed to lower levels of lead show no symptoms. When symptoms of lead poisoning appear they are non specific and cannot be differentiated. Lead can seriously affect health of children.,"Lead is a heavy metal with a bluish-grey colour. It has a low melting point, and can be combined with other metals to form alloys. It is widely used in products such as pipes; storage batteries; pigments and paints; glazes; vinyl products; weights, shot and ammunition; cable covers; and radiation shielding.","Symptoms of lead poisoning are not specific. The diagnosis of lead poisoning can be suspected if possible source of exposure to lead is found during routine questions such as peeling paint in old housings combined with such behavior in children as pica, chewing on surfaces, and placing nonfood items in the mouth or proximity to open burning of waste or recycling of car batteries. Symptoms may be absent in spite of significant poisoning. Routine assessment of nutritional and developmental milestones is performed in children.",Medical interventions and treatments vary depending on the confirmed blood lead level. Simply avoiding exposure to lead might be enough to reduce low levels of lead in blood.
Lactose Intolerance,"Lactose intolerance is a condition in which some persons have digestive symptoms such as bloating, flatulence and diarrhea after consumption of foods and drinks that contain lactose. Lactose is a sugar that is naturally found in milk and milk products (such as cheese or ice cream).",Symptoms of lactose intolerance may be noticed within a few hours after ingestion of milk or milk products or other foods that contain lactose. Symptoms usually appear with in 30 minutes to two hours after lactose intake. These symptoms may include-,"Normally lactose (milk sugar) breaks down by lactase in the small intestine in to two simple sugars glucose and galactose, which are absorbed into the bloodstream through the intestinal lining. Lactase is an enzyme which helps in the process of digestion of lactose.","For diagnosis of lactose intolerance, health care provider may ask about symptoms, family and medical history, eating habits and do physical examination.",Symptoms of lactose intolerance can be managed by change in diet; to limit or avoid foods and drinks that contain lactose such as milk and milk products. Some persons can manage their symptoms by just limiting the intake of lactose while others may need to avoid lactose altogether.
Long Covid/Post-Covid Conditions,"Most people with COVID-19 recover and return to normal health within weeks of illness. However, some people experience symptoms that last for weeks or even months after recovery from acute illness.",People suffering from Long COVID experience symptoms affecting many body systems which may change overtime. These conditions can have different combinations of health problems for different lengths of time.,There are two major reasons for post-COVID-19 symptoms:,There is no simple test for diagnosing Long COVID. A clinical diagnosis can be made based on a history of COVID-19 and a failure to fully recover with development of some of the symptoms.,"There are different ways to help manage post-COVID conditions. If you think you have a post-COVID condition, talk to your healthcare provider about options for managing or treating your symptoms and resources for support."
